id,number,name,lat,lon
379,195,"СОПИШТЕ ДЕТСКО ИГРАЛИШТЕ-КОН ДОБРИ ДОЛG",41.956195831299,21.432830810547
380,196,"СОПИШТЕ МОСТ-КОН КИСЕЛА ВОДА",41.955230712891,21.429229736328
381,197,"СОПИШТЕ МОСТ-КОН ДОБРИ ДОЛ",41.955184936523,21.429000854492
382,198,"СОПИШТЕ ЧЕШМА-КОН КИСЕЛА ВОДА",41.9547996521,21.424648284912
383,199,"СОПИШТЕ ЧЕШМА-КОН ДОБРИ ДОЛ",41.95482635498,21.424547195435
384,200,"СОПИШТЕ МУЛИНО-КОН КИСЕЛА ВОДА",41.952587127686,21.422142028809
385,201,"СОПИШТЕ МУЛИНО-КОН ДОБРИ ДОЛ",41.952125549316,21.421909332275
386,202,"СОПИШТЕ Т-ПОЧЕТНА",41.948341369629,21.416749954224
387,203,"СОПИШТЕ Т-КРАЈНА",41.948497772217,21.416770935059
388,204,"ЦРКВА СВ.ПЕТКА-КОН ЦЕНТАР",41.986560821533,21.43034362793
389,205,"ЦРКВА СВ.ПЕТКА-КОН ЦРНИЧЕ",41.986961364746,21.43087387085
390,206,"ЦРНИЧЕ РЕПТИЛ-КОН ЦЕНТАР",41.984283447266,21.427825927734
391,207,"ЦРНИЧЕ РЕПТИЛ-КОН ПРЖИНО",41.983909606934,21.428590774536
392,208,"ЦРНИЧЕ-КОН ЦЕНТАР",41.982421875,21.431686401367
393,209,"ЦРНИЧЕ-КОН ПРЖИНО",41.981414794922,21.431915283203
394,210,"ПРЖИНО БУНАР-КОН ЦЕНТАР",41.978687286377,21.433855056763
395,211,"ПРЖИНО БУНАР-КОН Т",41.979446411133,21.43275642395
396,212,"ПРЖИНО Т",41.976531982422,21.433166503906
397,213,"ТЦ РАМСТОР",41.992324829102,21.42692565918
398,214,"МАЛА СТАНИЦА",41.991165161133,21.425354003906
399,215,"СТАРА ЖЕЛЕЗНИЧКА СТАНИЦА",41.990997314453,21.429885864258
400,216,"ЈУЖЕН БУЛЕВАР",41.988616943359,21.430923461914
401,217,"ТУТУНСКА БАНКА",41.992511749268,21.42441368103
402,218,"ЕВРОПСКИ УНИВЕРЗИТЕТ",41.994239807129,21.424482345581
403,219,"КЛИНИЧКИ ЦЕНТАР Т9",41.988754272461,21.418563842773
404,220,"КЛИНИЧКИ ЦЕНТАР Т50",41.989013671875,21.418991088867
405,221,"КЛИНИЧКИ ЦЕНТАР Т3",41.989166259766,21.419296264648
406,222,"КЛИНИЧКИ ЦЕНТАР Т-КРАЈНА",41.989532470703,21.419281005859
407,223,"ВОДНО ПОЛИЦИСКА СТАНИЦА-КОН ЦЕНТАР",41.985412597656,21.418395996094
408,224,"ВОДНО ПОЛИЦИСКА СТАНИЦА-КОН СРЕДНО ВОДНО",41.983898162842,21.418720245361
409,225,"ПАНОРАМА Т",41.982322692871,21.422073364258
415,231,"КАПИШТЕЦ ЖИТО ЛУКС-КОН ЦЕНТАР",41.992340087891,21.42041015625
416,232,"КАПИШТЕЦ ТЦ ЗЕБРА-КОН КОЗЛЕ",41.992427825928,21.421232223511
417,233,"АГЕНЦИЈА ЗА ВРАБОТУВАЊЕ-КОН ЦЕНТАР",41.993179321289,21.413208007812
418,234,"АГЕНЦИЈА ЗА ВРАБОТУВАЊЕ-КОН КОЗЛЕ",41.993286132812,21.413528442383
419,235,"КАПИШТЕЦ ЦРКВА-КОН ЦЕНТАР",41.993377685547,21.408367156982
420,236,"КАПИШТЕЦ ЦРКВА-КОН КОЗЛЕ",41.993663787842,21.408958435059
421,237,"СУ ЛАЗАР ТАНЕВ-КОН ЦЕНТАР",41.993835449219,21.401016235352
422,238,"СУ ЛАЗАР ТАНЕВ-КОН КОЗЛЕ",41.994003295898,21.402084350586
423,239,"КОЗЛЕ БЕНЗИНСКА-КОН ЦЕНТАР",41.994781494141,21.395431518555
424,240,"КОЗЛЕ БЕНЗИНСКА-КОН ЖДАНЕЦ",41.995342254639,21.393865585327
425,241,"КОЗЛЕ РЕПЛЕК-КОН ЦЕНТАР",41.997573852539,21.384780883789
426,242,"КОЗЛЕ РЕПЛЕК-КОН Т",41.997505187988,21.385124206543
427,243,"СРЕДНО НЕРЕЗИ Т",41.998641967773,21.379196166992
428,244,"ДОМ НА ПЕЧАТ Т-ПОЧЕТНА",41.993057250977,21.422348022461
429,245,"ДОМ НА ПЕЧАТ Т-КРАЈНА",41.992980957031,21.422241210938
430,246,"АМСМ-КОН ЦЕНТАР",41.994850158691,21.421466827393
431,247,"АМСМ-КОН ЃОРЧЕ ПЕТРОВ",41.994918823242,21.420810699463
432,248,"КАТОЛИЧКА ЦРКВА-КОН ЦЕНТАР",41.994659423828,21.416627883911
433,249,"КАТОЛИЧКА ЦРКВА-КОН ЃОРЧЕ ПЕТРОВ",41.994731903076,21.416610717773
434,250,"Ф-КА ТРЕСКА-КОН ЦЕНТАР",41.99560546875,21.409996032715
435,251,"Ф-КА ТРЕСКА-КОН ЃОРЧЕ ПЕТРОВ",41.995807647705,21.409921646118
436,252,"БУЛ.ТЕОДОСИЈ ГОЛОГАНОВ ВЕРО-КОН ЦЕНТАРG",41.996040344238,21.406692504883
437,253,"БУЛ.ТЕОДОСИЈ ГОЛОГАНОВ ВЕРО-КОН ЃОРЧЕ G",41.996166229248,21.406869888306
438,254,"Ф-КА АЛУМИНА-КОН ЦЕНТАР",41.996627807617,21.401779174805
439,255,"Ф-КА АЛУМИНА-КОН ЃОРЧЕ ПЕТРОВ",41.996978759766,21.400772094727
440,256,"ТАФТАЛИЏЕ-КОН ЦЕНТАР",41.99772644043,21.393951416016
441,257,"ТАФТАЛИЏЕ-КОН ЃОРЧЕ ПЕТРОВ",41.997940063477,21.394027709961
442,258,"СТ.ДОМ ГОЦЕ ДЕЛЧЕВ-КОН ЦЕНТАР",41.998260498047,21.389785766602
443,259,"СТ.ДОМ ГОЦЕ ДЕЛЧЕВ-КОН ЃОРЧЕ ПЕТРОВ",41.99825668335,21.390735626221
444,260,"СЦ ФОРЦА",41.999263763428,21.391651153564
445,261,"ТАФТАЛИЏЕ ТОПЛИФИКАЦИЈА Т",42.002426147461,21.39225769043
446,262,"ПОРТА КОЗЛЕ",41.998851776123,21.386173248291
447,263,"Ф-КА РЕПЛЕК-КОН ЦЕНТАР",41.999134063721,21.384197235107
448,264,"Ф-КА РЕПЛЕК-КОН ЃОРЧЕ ПЕТРОВ",41.999382019043,21.382684707642
449,265,"ХРОМ МОСТ",42.00072479248,21.378326416016
450,266,"ХРОМ ТИНЕКС-КОН ЦЕНТАР",42.003524780273,21.373748779297
451,267,"ХРОМ ТИНЕКС-КОН ЃОРЧЕ ПЕТРОВ",42.003234863281,21.374834060669
452,268,"ХРОМ ВЛАЕ-КОН ЦЕНТАР",42.006072998047,21.369140625
453,269,"ХРОМ ВЛАЕ-КОН ЃОРЧЕ ПЕТРОВ",42.006423950195,21.368993759155
454,270,"ПОРТА БУЊАКОВЕЦ",41.99836730957,21.423522949219
455,271,"СОБОРЕН ХРАМ",41.998611450195,21.423919677734
456,272,"ТЦ БУЊАКОВЕЦ",41.999359130859,21.418716430664
457,273,"ГРАДЕЖЕН ФАКУЛТЕТ",41.999618530273,21.418869018555
458,274,"МАЛ ОДМОР ",42.00080871582,21.411743164062
459,275,СИМПО,42.001007080078,21.411972045898
460,276,"КАРПОШ 2",42.001617431641,21.405853271484
461,277,"ХОТЕЛ КАРПОШ",42.001739501953,21.406051635742
462,278,"ПОЛИКЛИНИКА БУКУРЕШТ-КОН ЦЕНТАР",42.002380371094,21.399856567383
463,279,"ПОЛИКЛИНИКА БУКУРЕШТ-КОН ВЛАЕ",42.002624511719,21.400299072266
464,280,"БОЛНИЦА 8МИ СЕПТЕМВРИ",42.004165649414,21.401779174805
465,281,"КАРПОШ 3 БЕНЗИНСКА-КОН ЦЕНТАР",42.002822875977,21.396408081055
466,282,"КАРПОШ 3 БЕНЗИНСКА-КОН ВЛАЕ",42.003288269043,21.395080566406
467,283,"КАРПОШ 3 ТЦ СИТИ МОЛ Т",42.004348754883,21.392900466919
468,284,"АРХИВ НА ГРАД СКОПЈЕ",42.003540039062,21.391330718994
469,285,"ТЦ СИТИ МОЛ",42.003753662109,21.391494750977
470,286,"ТАФТАЛИЏЕ ПАЗАР-КОН ЦЕНТАР",42.001369476318,21.389986038208
471,287,"ТАФТАЛИЏЕ ПАЗАР-КОН Т",42.001323699951,21.389696121216
472,288,"ТАФТАЛИЏЕ Т",42.001480102539,21.384475708008
473,289,"КАРПОШ 4 ТЦ СИТИ МОЛ Т",42.005783081055,21.390823364258
474,290,"ДОЛНО НЕРЕЗИ-КОН ЦЕНТАР",42.00456237793,21.383987426758
475,291,"ДОЛНО НЕРЕЗИ-КОН ВЛАЕ",42.004730224609,21.384735107422
476,292,"ВЛАЕ-КОН ЦЕНТАР",42.007026672363,21.374193191528
477,293,"ВЛАЕ-КОН ЃОРЧЕ ПЕТРОВ",42.006607055664,21.376571655273
478,294,"ВЛАЕ ПОРТА-КОН ЦЕНТАР",42.008148193359,21.369918823242
479,295,"ВЛАЕ ПОРТА-КОН ЃОРЧЕ ПЕТРОВ",42.008407592773,21.369903564453
481,297,"ХРОМ ЗГРАДИ-КОН ЦЕНТАР",42.005046844482,21.367723464966
482,298,"ХРОМ ЗГРАДИ-КОН Т",42.005249023438,21.367126464844
483,299,"ОУ ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ-КОН ЦG",42.004043579102,21.370025634766
484,300,"ОУ ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ-КОН ТG",42.003692626953,21.370422363281
485,301,"ХРОМ Т",42.001495361328,21.373428344727
486,302,"ЃОРЧЕ ПЕТРОВ СТАР ПАЗАР-КОН ЦЕНТАР",42.006645202637,21.363437652588
487,303,"ЃОРЧЕ ПЕТРОВ СТАР ПАЗАР-КОН САРАЈ",42.006973266602,21.364330291748
488,304,"ЃОРЧЕ ПЕТРОВ КИНО-КОН ЦЕНТАР",42.006645202637,21.35884475708
489,305,"ЃОРЧЕ ПЕТРОВ КИНО-КОН САРАЈ",42.006832122803,21.359596252441
490,306,"ЈУГОХРОМСКИ ЗГРАДИ-КОН ЦЕНТАР",42.00643157959,21.354995727539
491,307,"ЈУГОХРОМСКИ ЗГРАДИ-КОН САРАЈ",42.006649017334,21.354135513306
